Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0094603,-0.088524,0.0020382,0,0,0,0.37668,0.00026243,-4.7759E-06,-3.6528E-06,0.00031103,1.2051E-05,0.00042537,0,0,0,0,0,0,package://right/meshes/base_link.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://right/meshes/base_link.STL,,FG-30-1;FG-24-1;RJ-03-1;FG-31-1;FG-32-1;FG-18-1;FG-06-3;FG-06-1;FG-05-3;FG-05-1;FG-06-4;FG-05-4;FG-06-5;FG-05-5,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_link1,-0.00017965,6.8304E-06,0.018159,0,0,0,0.0099033,6.2516E-07,-5.4183E-09,6.2081E-08,1.0583E-06,3.9831E-09,6.1988E-07,0,0,0,0,0,0,package://right/meshes/thumb_link1.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://right/meshes/thumb_link1.STL,,FG-13-2;FG-14-1,坐标系1,基准轴1,thumb_joint1,revolute,0.023,-0.0245,-0.04835,3.1416,0,-3.1416,base_link,0,0,-1,100,1,-2.14,0,,,,,,,,
thumb_link2,-0.020501,0.0067015,-0.0064038,0,0,0,0.014226,6.8248E-07,6.3443E-07,4.2546E-10,2.4065E-06,5.4467E-10,2.8832E-06,0,0,0,0,0,0,package://right/meshes/thumb_link2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://right/meshes/thumb_link2.STL,,RJ-02-6;FG-03-6;FG-02-6,坐标系2,基准轴2,thumb_joint2,revolute,-0.0088613,0.0060912,0.01565,-1.5708,0,0.018038,thumb_link1,0,0,-1,100,1,0,0.35,,,,,,,,
thumb_link3,-0.0196680927954652,-0.0005819719341843,0.00789994316554879,0,0,0,0.00784968038272673,2.81075874673003E-07,1.75602810939405E-08,-8.67190758135838E-12,1.53707272171153E-06,8.14073757746129E-13,1.36361714001957E-06,0,0,0,0,0,0,package://right/meshes/thumb_link3.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://right/meshes/thumb_link3.STL,,RJ-01-6;FG-01-6,坐标系3,基准轴3,thumb_joint3,revolute,-0.042286,0.015391,-0.01415,0,0,-0.34907,thumb_link2,0,0,-1,100,1,0,1.57,,,,,,,,
index_link1,-0.0215644823473152,0.000393824084923317,-0.00874621135392779,0,0,0,0.0142262329639115,4.74796817289846E-07,3.63252054246068E-08,-2.22673309099261E-10,2.61422515976766E-06,6.54075662009712E-10,2.88324671047069E-06,0,0,0,0,0,0,package://right/meshes/index_link1.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://right/meshes/index_link1.STL,,FG-03-3;FG-02-3;RJ-02-3,坐标系4,基准轴4,index_joint1,revolute,0.031418,0,-0.0053197,3.1416,1.5359,3.1416,base_link,0,0,1,100,1,0,1.57,,,,,,,,
index_link2,-0.019676,-6.2395E-05,-0.0079,0,0,0,0.0078496,2.8357E-07,-5.8625E-08,5.9491E-12,1.5346E-06,6.753E-14,1.3636E-06,0,0,0,0,0,0,package://right/meshes/index_link2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://right/meshes/index_link2.STL,,FG-01-3;RJ-01-3,坐标系5,基准轴5,index_joint2,revolute,-0.044995,-0.00066876,-0.001,0,0,0,index_link1,0,0,1,100,1,0,1.57,,,,,,,,
middle_link1,-0.0215562506031045,0.000714276767812562,-0.00874619886653837,0,0,0,0.0142262397904175,4.76348437272591E-07,6.81026341965301E-08,-2.11739551609207E-10,2.61267178108045E-06,6.56674816237693E-10,2.88324556739897E-06,0,0,0,0,0,0,package://right/meshes/middle_link1.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://right/meshes/middle_link1.STL,,FG-02-1;FG-03-1;RJ-02-1,坐标系6,基准轴6,middle_joint1,revolute,0.0089,0,0,0,1.5708,0,base_link,0,0,1,100,1,0,1.57,,,,,,,,
middle_link2,-0.0196680995356125,0.000581962591357868,-0.00789993606542237,0,0,0,0.00784967565480307,2.81075990649539E-07,-1.75598147871464E-08,9.1619521816691E-12,1.53707336727064E-06,9.30781747045291E-13,1.36361817821565E-06,0,0,0,0,0,0,package://right/meshes/middle_link2.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://right/meshes/middle_link2.STL,,FG-01-1;RJ-01-1,坐标系7,基准轴7,middle_joint2,revolute,-0.045,0,-0.001,0,0,0,middle_link1,0,0,1,100,1,0,1.57,,,,,,,,
ring_link1,-0.0215562631632659,0.00071427737556939,-0.00874620018386888,0,0,0,0.0142262435769468,4.76349000995179E-07,6.81020931307809E-08,-2.12503697751352E-10,2.61267824583491E-06,6.56558908193673E-10,2.88325223980858E-06,0,0,0,0,0,0,package://right/meshes/ring_link1.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://right/meshes/ring_link1.STL,,FG-02-4;FG-03-4;RJ-02-4,坐标系8,基准轴8,ring_joint1,revolute,-0.013629,0,-0.0046985,0,1.5359,0,base_link,0,0,1,100,1,0,1.57,,,,,,,,
ring_link2,-0.0196679867849359,0.000581976188691607,-0.00789991025971003,0,0,0,0.00784962520464454,2.81074318951396E-07,-1.7555732490274E-08,1.27085169733249E-11,1.5370525534456E-06,2.09501544213668E-12,1.36359734443304E-06,0,0,0,0,0,0,package://right/meshes/ring_link2.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://right/meshes/ring_link2.STL,,FG-01-4;RJ-01-4,坐标系9,基准轴9,ring_joint2,revolute,-0.045,0,-0.001,0,0,0,ring_link1,0,0,1,100,1,0,1.57,,,,,,,,
little_link1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://right/meshes/little_link1.STL,1,1,1,1,0,0,0,0,0,0,package://right/meshes/little_link1.STL,,FG-02-5;FG-03-5;RJ-02-5,坐标系10,基准轴10,little_joint1,revolute,-0.036007,0,-0.0094157,0,1.501,0,base_link,0,0,1,100,1,0,1.57,,,,,,,,
little_link2,-0.0196680071986052,0.000581972212251745,-0.00789991313401341,0,0,0,0.00784963356765954,2.81074629444425E-07,-1.75567896523501E-08,1.20217775074536E-11,1.53705622021842E-06,1.91083841216387E-12,1.36360123319282E-06,0,0,0,0,0,0,package://right/meshes/little_link2.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://right/meshes/little_link2.STL,,RJ-01-5;FG-01-5,坐标系11,基准轴11,little_joint2,revolute,-0.045,0,-0.001,0,0,0,little_link1,0,0,1,100,1,0,1.57,,,,,,,,
